Civilite*,Nom*,Prénom*,Nom de la société*,SIRET,Catégorie de tiers*,Nature juridique*,Adresse,Complément,Code postal *,Commune *,Pays *,Téléphone *,Téléphone 2,Mail *,Nom *,SIRET,Nature d'hébergement *,Référence interne,Catégorie (Atout France)*,Date de la catégorie *,Date d'application de la catégorie *,Date de début de collecte sur la plateforme *,Adresse,Complément,Code postal *,Commune *,Latitude,Longitude,Téléphone *,Téléphone 2,Nombre de chambres ou emplacements *,Capacité (Nombre de personnes) *,Site Web,Descriptif,Remarques
,,,,,,,,https://www.airbnb.fr/users/show/432114611,,,Guadeloupe,,,,Maison à Sainte-Rose,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1355050830516505464?search_mode=regular_search&adults=1&check_in=2025-03-31&check_out=2025-04-05&children=0&infants=0&pets=0&source_impression_id=p3_1739910824_P3c4ve6cQwh4aNdL&previous_page_section_name=1000,Maison à Sainte-Rose,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/102834881,,,Guadeloupe,,,,L'ALIZÉE SPA**** (WIFI+NETFLIX+JACCUZZI+VUE MER),,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/32963353?search_mode=regular_search&adults=1&check_in=2025-02-23&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739910814_P3IUhh-iTrn5N3VR&previous_page_section_name=1000,L'ALIZÉE SPA**** (WIFI+NETFLIX+JACCUZZI+VUE MER),Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/393116679,,,Guadeloupe,,,,Gîte la Suzanna,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/48734918?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P33c6tIHk6XmizM5&previous_page_section_name=1000,Gîte la Suzanna,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/42163767,,,Guadeloupe,,,,"Bungalow ""Le Jasmin"" vue mer 500m de la plage",,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/8191815?search_mode=regular_search&adults=1&check_in=2025-04-09&check_out=2025-04-16&children=0&infants=0&pets=0&source_impression_id=p3_1739910833_P3YJkLKLRLgS7E3q&previous_page_section_name=1000,"Bungalow ""Le Jasmin"" vue mer 500m de la plage",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/447311057,,,Guadeloupe,,,,Appartement 2 chambres + Terrasse,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/572656396965410094?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910830_P3C-FHeIRshq62Gs&previous_page_section_name=1000,Appartement 2 chambres + Terrasse,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/25347673,,,Guadeloupe,,,,Studio Majacudja - Vue mer et piscine - Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1333452764023126801?search_mode=regular_search&adults=1&check_in=2025-03-27&check_out=2025-04-01&children=0&infants=0&pets=0&source_impression_id=p3_1739910830_P3oVl5VG0f-5HHPi&previous_page_section_name=1000,Studio Majacudja - Vue mer et piscine - Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/202367837,,,Guadeloupe,,,,La montagne aux Orchidées,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/47901843?search_mode=regular_search&adults=1&check_in=2025-04-28&check_out=2025-05-03&children=0&infants=0&pets=0&source_impression_id=p3_1739910830_P32v9Z_C9sIiV2mt&previous_page_section_name=1000,La montagne aux Orchidées,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/501487042,,,Guadeloupe,,,,La villa paradisiaque,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/828852646247996018?search_mode=regular_search&adults=1&check_in=2025-03-30&check_out=2025-04-04&children=0&infants=0&pets=0&source_impression_id=p3_1739910830_P3S3HwPQXs88U2Zj&previous_page_section_name=1000,La villa paradisiaque,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/431232554,,,Guadeloupe,,,,Maison à Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1355108055049228068?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910831_P3qnVSxKVeoeU1-L&previous_page_section_name=1000,Maison à Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/42163767,,,Guadeloupe,,,,"Bungalow ""Le Jasmin"" vue mer 500m de la plage",,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/8191815?search_mode=regular_search&adults=1&check_in=2025-04-09&check_out=2025-04-16&children=0&infants=0&pets=0&source_impression_id=p3_1739910831_P3eGIDsy9GzFrPFB&previous_page_section_name=1000,"Bungalow ""Le Jasmin"" vue mer 500m de la plage",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/17960149,,,Guadeloupe,,,,Gîte à 200 m plage de Grande Anse 5 pers. (F),,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/40690080?search_mode=regular_search&adults=1&check_in=2025-03-18&check_out=2025-03-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910831_P3fVWpj4iw2FAVN4&previous_page_section_name=1000,Gîte à 200 m plage de Grande Anse 5 pers. (F),Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/92677155,,,Guadeloupe,,,,Entre 2 ô : Le Mahi-Mahi,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/44280594?search_mode=regular_search&adults=1&check_in=2025-05-08&check_out=2025-05-13&children=0&infants=0&pets=0&source_impression_id=p3_1739910831_P3BePyqSOS_bEX20&previous_page_section_name=1000,Entre 2 ô : Le Mahi-Mahi,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/532891729,,,Guadeloupe,,,,21 -Jolie location vue mer 4*- piscine jacuzzi,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/962249347499048128?search_mode=regular_search&adults=1&check_in=2025-03-03&check_out=2025-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1739910831_P3_wKeRjhxg3p7Dw&previous_page_section_name=1000,21 -Jolie location vue mer 4*- piscine jacuzzi,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/431232554,,,Guadeloupe,,,,Maison à Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1355108055049228068?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910833_P3DVuSPKd-SeOK3l&previous_page_section_name=1000,Maison à Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/501487042,,,Guadeloupe,,,,La villa paradisiaque,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/828852646247996018?search_mode=regular_search&adults=1&check_in=2025-03-30&check_out=2025-04-04&children=0&infants=0&pets=0&source_impression_id=p3_1739910833_P3-yq1N8Wy5puIgr&previous_page_section_name=1000,La villa paradisiaque,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/468834713,,,Guadeloupe,,,,145 m² I Piscine I Spa I Jardin I Vue Panoramique,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/668585359745645022?search_mode=regular_search&adults=1&check_in=2025-03-04&check_out=2025-03-09&children=0&infants=0&pets=0&source_impression_id=p3_1739910833_P3MBcaGyAvQLZNIT&previous_page_section_name=1000,145 m² I Piscine I Spa I Jardin I Vue Panoramique,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/470801352,,,Guadeloupe,,,,Bungalow pour 5 pers. avec piscine B4 Ti Kawane,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1342035878599623111?search_mode=regular_search&adults=1&check_in=2025-03-23&check_out=2025-03-28&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P3Q5R0MhlBovxjhY&previous_page_section_name=1000,Bungalow pour 5 pers. avec piscine B4 Ti Kawane,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/17960149,,,Guadeloupe,,,,Gîte à 200 m plage de Grande Anse 5 pers. (F),,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/40690080?search_mode=regular_search&adults=1&check_in=2025-03-18&check_out=2025-03-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910833_P3TycaVyui4sXDNd&previous_page_section_name=1000,Gîte à 200 m plage de Grande Anse 5 pers. (F),Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/92677155,,,Guadeloupe,,,,Entre 2 ô : Le Mahi-Mahi,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/44280594?search_mode=regular_search&adults=1&check_in=2025-05-08&check_out=2025-05-13&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P3bgU9YnK81JdZf8&previous_page_section_name=1000,Entre 2 ô : Le Mahi-Mahi,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/532891729,,,Guadeloupe,,,,21 -Jolie location vue mer 4*- piscine jacuzzi,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/962249347499048128?search_mode=regular_search&adults=1&check_in=2025-03-03&check_out=2025-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P3e6wlTjZaPP1lxE&previous_page_section_name=1000,21 -Jolie location vue mer 4*- piscine jacuzzi,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/551420896,,,Guadeloupe,,,,Ti' Kélonia 2 - Maisons atypiques,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1048693213430925606?search_mode=regular_search&adults=1&check_in=2025-03-20&check_out=2025-03-25&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P3GShTKptygRpIS2&previous_page_section_name=1000,Ti' Kélonia 2 - Maisons atypiques,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/3571563,,,Guadeloupe,,,,"Villa ""La Belle Sirène"", piscine & vue panoramique",,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1055176409821823243?search_mode=regular_search&adults=1&check_in=2025-04-07&check_out=2025-04-12&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P3l5QU7CSZn50OIX&previous_page_section_name=1000,"Villa ""La Belle Sirène"", piscine & vue panoramique",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/212982621,,,Guadeloupe,,,,Bungalow Tortue Verte - Piscine et Vue Mer,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/787489278387883946?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-15&children=0&infants=0&pets=0&source_impression_id=p3_1739910834_P35z4KxYVW1xxaYl&previous_page_section_name=1000,Bungalow Tortue Verte - Piscine et Vue Mer,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/457352368,,,Guadeloupe,,,,KaK location les pieds dans l'eau,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/618995350601489244?search_mode=regular_search&adults=1&check_in=2025-06-19&check_out=2025-06-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910802_P3omibFBtUwOe7vG&previous_page_section_name=1000,KaK location les pieds dans l'eau,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/36660655,,,Guadeloupe,,,,Hébergement insolite à Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1319479893846751899?search_mode=regular_search&adults=1&check_in=2025-03-31&check_out=2025-04-05&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3GJf7ePXBQyp0lK&previous_page_section_name=1000,Hébergement insolite à Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/48514667,,,Guadeloupe,,,,La brise  du Gros Morne à Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1358043233052553020?search_mode=regular_search&adults=1&check_in=2025-02-26&check_out=2025-03-03&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3F2dPYGAgOrYEmz&previous_page_section_name=1000,La brise  du Gros Morne à Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/125601876,,,Guadeloupe,,,,Studio escapade vue sur mer,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1252390282351461293?search_mode=regular_search&adults=1&check_in=2025-02-21&check_out=2025-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P374gNsPUD6jLRQ6&previous_page_section_name=1000,Studio escapade vue sur mer,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/663146246,,,Guadeloupe,,,,Appartement 2 à 3 personnes,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1294899056508864968?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3G13YAsYAtAC25L&previous_page_section_name=1000,Appartement 2 à 3 personnes,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/533983196,,,Guadeloupe,,,,Tuwana,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/966575513072261839?search_mode=regular_search&adults=1&check_in=2025-04-26&check_out=2025-05-01&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3kDKq2r7JLAznzb&previous_page_section_name=1000,Tuwana,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/252564464,,,Guadeloupe,,,,Le Morne aux Fous - La Source,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1302266436304452162?search_mode=regular_search&adults=1&check_in=2025-03-27&check_out=2025-04-01&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3VfvBdQHSbbsTTD&previous_page_section_name=1000,Le Morne aux Fous - La Source,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/532891729,,,Guadeloupe,,,,55- Studio vue mer à découvrir sans tarder !,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/962389447952450331?search_mode=regular_search&adults=1&check_in=2025-02-27&check_out=2025-03-04&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3Gux81mq60iWTD_&previous_page_section_name=1000,55- Studio vue mer à découvrir sans tarder !,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/218910491,,,Guadeloupe,,,,Studio Terrasse Piscine,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/680311186679252757?search_mode=regular_search&adults=1&check_in=2025-04-18&check_out=2025-04-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P34aiSFAND_G7zCV&previous_page_section_name=1000,Studio Terrasse Piscine,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/117806890,,,Guadeloupe,,,,"Deshaies, 2 pers, piscine et plage",,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1244951199628319597?search_mode=regular_search&adults=1&check_in=2025-04-17&check_out=2025-04-22&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3XamLZGOq28GpFa&previous_page_section_name=1000,"Deshaies, 2 pers, piscine et plage",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/486884350,,,Guadeloupe,,,,Évasion Tropicale-Entre mer et Rivière à Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/44210836?search_mode=regular_search&adults=1&check_in=2025-02-21&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3LoQv-NGzCPoNAj&previous_page_section_name=1000,Évasion Tropicale-Entre mer et Rivière à Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/218463806,,,Guadeloupe,,,,Villa prestige vue mer - Deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/31208145?search_mode=regular_search&adults=1&check_in=2025-05-09&check_out=2025-05-14&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3NlVzjb2p4lI6po&previous_page_section_name=1000,Villa prestige vue mer - Deshaies,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/102223008,,,Guadeloupe,,,,ANANAS Bungalow vue mer,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/46942898?search_mode=regular_search&adults=1&check_in=2025-05-09&check_out=2025-05-14&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3Z1LSa5m8yCmU56&previous_page_section_name=1000,ANANAS Bungalow vue mer,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/569373656,,,Guadeloupe,,,,studio rose de jericho deshaies,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1355252333268547887?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910788_P3PBq3hJ5meYHvMr&previous_page_section_name=1000,studio rose de jericho deshaies,Airbnb
